uniprot_id	protein_name	reviewed	ec_in_uniprot	rxn_id_in_uniprot	rxn_equation_in_uniprot	gene_id_bigg	RXNRECer	RXNRECer_with_prob	ECRECer_equations
P0A698	UvrABC system protein A (UvrA protein) (Excinuclease ABC subunit A)	reviewed	-	-	-	b4058	-	{'-': 1.0}	-
P0A8Q0	Fumarate reductase subunit C (Fumarate reductase 15 kDa hydrophobic protein) (Quinol-fumarate reductase subunit C) (QFR subunit C)	reviewed	-	-	-	b4152	-	{'-': 1.0}	-
P69805	PTS system mannose-specific EIID component (EII-M-Man) (EIID-Man) (Mannose permease IID component)	reviewed	-	-	-	b1819	-	{'-': 1.0}	-
P03004	Chromosomal replication initiator protein DnaA	reviewed	-	-	-	b3702	-	{'-': 1.0}	-
P19624	4-hydroxythreonine-4-phosphate dehydrogenase (EC 1.1.1.262) (4-(phosphohydroxy)-L-threonine dehydrogenase)	reviewed	1.1.1.262	RHEA:32275	['4-(phosphooxy)-L-threonine + NAD(+) = 3-amino-2-oxopropyl phosphate + CO2 + NADH']	b0052	RHEA:32275	{'RHEA:32275': 1.0}	['4-(phosphooxy)-L-threonine + NAD(+) = 3-amino-2-oxopropyl phosphate + CO2 + NADH']
P0AG11	Protein UmuD (EC 3.4.21.-) (DNA polymerase V) (Pol V) [Cleaved into: Protein UmuD']	reviewed	3.4.21.-	-	-	b1183	-	{'-': 0.999964}	-
P0A8V2	DNA-directed RNA polymerase subunit beta (RNAP subunit beta) (EC 2.7.7.6) (RNA polymerase subunit beta) (Transcriptase subunit beta)	reviewed	2.7.7.6	RHEA:21248	"[""a ribonucleoside 5'-triphosphate + RNA(n) = diphosphate + RNA(n+1)""]"	b3987	RHEA:21248	{'RHEA:21248': 1.0}	"[""a ribonucleoside 5'-triphosphate + RNA(n) = diphosphate + RNA(n+1)""]"
P09831	Glutamate synthase [NADPH] large chain (EC 1.4.1.13) (Glutamate synthase subunit alpha) (GLTS alpha chain) (NADPH-GOGAT)	reviewed	1.4.1.13	RHEA:15501	['2 L-glutamate + NADP(+) = 2-oxoglutarate + H(+) + L-glutamine + NADPH']	b3212	RHEA:15501	{'RHEA:15501': 1.0}	['2 L-glutamate + NADP(+) = 2-oxoglutarate + H(+) + L-glutamine + NADPH']
P0A6R0	Beta-ketoacyl-[acyl-carrier-protein] synthase III (Beta-ketoacyl-ACP synthase III) (KAS III) (EC 2.3.1.180) (3-oxoacyl-[acyl-carrier-protein] synthase 3) (3-oxoacyl-[acyl-carrier-protein] synthase III) (EcFabH)	reviewed	2.3.1.180	RHEA:12080;RHEA:42244	['H(+) + malonyl-[ACP] + propanoyl-CoA = 3-oxopentanoyl-[ACP] + CO2 + CoA', 'acetyl-CoA + H(+) + malonyl-[ACP] = 3-oxobutanoyl-[ACP] + CO2 + CoA']	b1091	RHEA:12080;RHEA:42244	{'RHEA:12080': 1.0, 'RHEA:42244': 1.0}	['H(+) + malonyl-[ACP] + propanoyl-CoA = 3-oxopentanoyl-[ACP] + CO2 + CoA', 'acetyl-CoA + H(+) + malonyl-[ACP] = 3-oxobutanoyl-[ACP] + CO2 + CoA']
P27278	Trifunctional NAD biosynthesis/regulator protein NadR [Includes: Transcriptional regulator NadR; Nicotinamide mononucleotide adenylyltransferase (NMN adenylyltransferase) (NMN-AT) (NMNAT) (EC 2.7.7.1) (Nicotinamide ribonucleotide adenylyltransferase) (Nicotinamide-nucleotide adenylyltransferase); Ribosylnicotinamide kinase (RNK) (EC 2.7.1.22) (Nicotinamide riboside kinase) (NRK) (NmR-K)]	reviewed	2.7.1.22;2.7.7.1	RHEA:21360;RHEA:14017	['ATP + beta-nicotinamide D-riboside = ADP + beta-nicotinamide D-ribonucleotide + H(+)', 'ATP + beta-nicotinamide D-ribonucleotide + H(+) = diphosphate + NAD(+)']	b4390	RHEA:14017;RHEA:21360	{'RHEA:14017': 1.0, 'RHEA:21360': 1.0}	['ATP + beta-nicotinamide D-riboside = ADP + beta-nicotinamide D-ribonucleotide + H(+)', 'ATP + beta-nicotinamide D-ribonucleotide + H(+) = diphosphate + NAD(+)']
P76216	N-succinylarginine dihydrolase (EC 3.5.3.23)	reviewed	3.5.3.23	RHEA:19533	['2 H(+) + 2 H2O + N(2)-succinyl-L-arginine = CO2 + N(2)-succinyl-L-ornithine + 2 NH4(+)']	b1745	RHEA:19533	{'RHEA:19533': 1.0}	['2 H(+) + 2 H2O + N(2)-succinyl-L-arginine = CO2 + N(2)-succinyl-L-ornithine + 2 NH4(+)']
P0AE06	Multidrug efflux pump subunit AcrA (AcrAB-TolC multidrug efflux pump subunit AcrA) (Acridine resistance protein A)	reviewed	-	-	-	b0463	-	{'-': 1.0}	-
P19925	Enterobactin synthase component D (4'-phosphopantetheinyl transferase EntD) (EC 2.7.8.-) (Enterochelin synthase D)	reviewed	2.7.8.-	RHEA:48404;RHEA:46228	"[""apo-[peptidyl-carrier protein] + CoA = adenosine 3',5'-bisphosphate + H(+) + holo-[peptidyl-carrier protein]"", ""apo-[aryl-carrier protein] + CoA = adenosine 3',5'-bisphosphate + H(+) + holo-[aryl-carrier protein]""]"	b0583	RHEA:48404;RHEA:46228	{'RHEA:48404': 1.0, 'RHEA:46228': 1.0}	"[""apo-[peptidyl-carrier protein] + CoA = adenosine 3',5'-bisphosphate + H(+) + holo-[peptidyl-carrier protein]"", ""apo-[aryl-carrier protein] + CoA = adenosine 3',5'-bisphosphate + H(+) + holo-[aryl-carrier protein]""]"
P20083	DNA topoisomerase 4 subunit B (EC 5.6.2.2) (Topoisomerase IV subunit B)	reviewed	5.6.2.2	-	-	b3030	-	{'-': 0.999993}	-
P0A6E1	Shikimate kinase 2 (SK 2) (EC 2.7.1.71) (Shikimate kinase II) (SKII)	reviewed	2.7.1.71	RHEA:13121	['ATP + shikimate = 3-phosphoshikimate + ADP + H(+)']	b0388	RHEA:13121	{'RHEA:13121': 1.0}	['ATP + shikimate = 3-phosphoshikimate + ADP + H(+)']
P0A7F9	S-adenosylmethionine:tRNA ribosyltransferase-isomerase (EC 2.4.99.17) (Queuosine biosynthesis protein QueA)	reviewed	2.4.99.17	RHEA:32155	['7-aminomethyl-7-carbaguanosine(34) in tRNA + S-adenosyl-L-methionine = adenine + epoxyqueuosine(34) in tRNA + 2 H(+) + L-methionine']	b0405	RHEA:32155	{'RHEA:32155': 1.0}	['7-aminomethyl-7-carbaguanosine(34) in tRNA + S-adenosyl-L-methionine = adenine + epoxyqueuosine(34) in tRNA + 2 H(+) + L-methionine']
P16686	Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnH (RPnTP synthase subunit PhnH) (EC 2.7.8.37)	reviewed	2.7.8.37	RHEA:34679	['ATP + methylphosphonate = adenine + alpha-D-ribose 1-methylphosphonate 5-triphosphate']	b4100	RHEA:34679	{'RHEA:34679': 1.0}	['ATP + methylphosphonate = adenine + alpha-D-ribose 1-methylphosphonate 5-triphosphate']
P18196	Septum site-determining protein MinC	reviewed	-	-	-	b1176	-	{'-': 1.0}	-
P0A6B7	Cysteine desulfurase IscS (EC 2.8.1.7) (NifS protein homolog) (ThiI transpersulfidase) (TusA transpersulfidase)	reviewed	2.8.1.7	RHEA:43892	['[sulfur carrier]-H + L-cysteine = [sulfur carrier]-SH + L-alanine']	b2530	RHEA:43892	{'RHEA:43892': 1.0}	['[sulfur carrier]-H + L-cysteine = [sulfur carrier]-SH + L-alanine']
P0AGJ9	Tyrosine--tRNA ligase (EC 6.1.1.1) (Tyrosyl-tRNA synthetase) (TyrRS)	reviewed	6.1.1.1	RHEA:10220;RHEA:57448	['ATP + D-tyrosine + tRNA(Tyr) = AMP + D-tyrosyl-tRNA(Tyr) + diphosphate + H(+)', 'ATP + L-tyrosine + tRNA(Tyr) = AMP + diphosphate + H(+) + L-tyrosyl-tRNA(Tyr)']	b1637	RHEA:10220;RHEA:57448	{'RHEA:10220': 1.0, 'RHEA:57448': 1.0}	['ATP + D-tyrosine + tRNA(Tyr) = AMP + D-tyrosyl-tRNA(Tyr) + diphosphate + H(+)', 'ATP + L-tyrosine + tRNA(Tyr) = AMP + diphosphate + H(+) + L-tyrosyl-tRNA(Tyr)']
P77173	Cell division protein ZipA (FtsZ interacting protein A)	reviewed	-	-	-	b2412	-	{'-': 1.0}	-
P76084	Acyl-coenzyme A thioesterase PaaI (EC 3.1.2.-) (Phenylacetic acid degradation protein PaaI)	reviewed	3.1.2.-	-	-	b1396	RHEA:16781;RHEA:40059;RHEA:30143;RHEA:40111;RHEA:40115;RHEA:40119;RHEA:16645;RHEA:30135;RHEA:40139;RHEA:40151;RHEA:26309	{'RHEA:16781': 0.959114, 'RHEA:40059': 0.959114, 'RHEA:30143': 0.959114, 'RHEA:40111': 0.959114, 'RHEA:40115': 0.959114, 'RHEA:40119': 0.959114, 'RHEA:16645': 0.959114, 'RHEA:30135': 0.959114, 'RHEA:40139': 0.959114, 'RHEA:40151': 0.959114, 'RHEA:26309': 0.94758}	['1,4-dihydroxy-2-naphthoyl-CoA + H2O = 1,4-dihydroxy-2-naphthoate + CoA + H(+)', 'dodecanoyl-CoA + H2O = CoA + dodecanoate + H(+)', 'H2O + octanoyl-CoA = CoA + H(+) + octanoate', 'decanoyl-CoA + H2O = CoA + decanoate + H(+)', 'butanoyl-CoA + H2O = butanoate + CoA + H(+)', 'H2O + hexanoyl-CoA = CoA + H(+) + hexanoate', 'H2O + tetradecanoyl-CoA = CoA + H(+) + tetradecanoate', '(9Z)-octadecenoyl-CoA + H2O = (9Z)-octadecenoate + CoA + H(+)', '(5Z,8Z,11Z,14Z)-eicosatetraenoyl-CoA + H2O = (5Z,8Z,11Z,14Z)-eicosatetraenoate + CoA + H(+)', 'H2O + hexadecanoyl-CoA = CoA + H(+) + hexadecanoate', 'a fatty acyl-CoA + H2O = a fatty acid + CoA + H(+)']
P0ABK7	Minor curlin subunit	reviewed	-	-	-	b1041	-	{'-': 1.0}	-
P07102	Phytase AppA (EC 3.1.3.-) (6-phytase) (Histidine acid phosphatase phytase) (HAP phytase) (Myo-inositol hexakisphosphate phosphohydrolase) (Phosphoanhydride phosphatase) (EC 3.6.1.-) (pH 2.5 acid phosphatase) (Acid phosphatase) (EC 3.1.3.-)	reviewed	3.1.3.-;3.6.1.-	RHEA:68308;RHEA:68312;RHEA:68316;RHEA:68320;RHEA:68324;RHEA:19669	['1D-myo-inositol hexakisphosphate + H2O = 1D-myo-inositol 1,2,3,4,5-pentakisphosphate + phosphate', '1D-myo-inositol 1,2,3,4,5-pentakisphosphate + H2O = 1D-myo-inositol 2,3,4,5-tetrakisphosphate + phosphate', '1D-myo-inositol 2,3,4,5-tetrakisphosphate + H2O = 1D-myo-inositol 2,4,5-triphosphate + phosphate', '1D-myo-inositol 2,4,5-triphosphate + H2O = 1D-myo-inositol 2,5-bisphosphate + phosphate', '1D-myo-inositol 2,5-bisphosphate + H2O = 1D-myo-inositol 2-phosphate + phosphate', 'GTP + H2O = GDP + H(+) + phosphate']	b0980	RHEA:19669;RHEA:68312;RHEA:68308;RHEA:68320;RHEA:68316;RHEA:68324;RHEA:15017	{'RHEA:19669': 1.0, 'RHEA:68312': 1.0, 'RHEA:68308': 1.0, 'RHEA:68320': 1.0, 'RHEA:68316': 1.0, 'RHEA:68324': 1.0, 'RHEA:15017': 0.7777}	['1D-myo-inositol hexakisphosphate + H2O = 1D-myo-inositol 1,2,3,4,5-pentakisphosphate + phosphate', '1D-myo-inositol 1,2,3,4,5-pentakisphosphate + H2O = 1D-myo-inositol 2,3,4,5-tetrakisphosphate + phosphate', '1D-myo-inositol 2,3,4,5-tetrakisphosphate + H2O = 1D-myo-inositol 2,4,5-triphosphate + phosphate', '1D-myo-inositol 2,4,5-triphosphate + H2O = 1D-myo-inositol 2,5-bisphosphate + phosphate', '1D-myo-inositol 2,5-bisphosphate + H2O = 1D-myo-inositol 2-phosphate + phosphate', 'a phosphate monoester + H2O = an alcohol + phosphate', 'GTP + H2O = GDP + H(+) + phosphate']
P0AC33	Fumarate hydratase class I, aerobic (EC 4.2.1.2) (Fumarase A) (Oxaloacetate keto--enol-isomerase) (OAAKE isomerase) (Oxaloacetate tautomerase) (EC 5.3.2.2)	reviewed	4.2.1.2;5.3.2.2	RHEA:12460;RHEA:16021	['(S)-malate = fumarate + H2O', 'oxaloacetate = enol-oxaloacetate']	b1612	RHEA:16021;RHEA:12460	{'RHEA:16021': 1.0, 'RHEA:12460': 1.0}	['(S)-malate = fumarate + H2O', 'oxaloacetate = enol-oxaloacetate']
P0ADP2	Medium/long-chain acyl-CoA thioesterase YigI (EC 3.1.2.20)	reviewed	3.1.2.20	RHEA:16781;RHEA:68184;RHEA:67680;RHEA:40059;RHEA:16645	['decanoyl-CoA + H2O = CoA + decanoate + H(+)', 'a long-chain fatty acyl-CoA + H2O = a long-chain fatty acid + CoA + H(+)', 'a medium-chain fatty acyl-CoA + H2O = a medium chain fatty acid + CoA + H(+)', 'H2O + hexadecanoyl-CoA = CoA + H(+) + hexadecanoate', 'a fatty acyl-CoA + H2O = a fatty acid + CoA + H(+)']	b3820	RHEA:67680;RHEA:68184;RHEA:16781;RHEA:40059;RHEA:16645	{'RHEA:67680': 1.0, 'RHEA:68184': 1.0, 'RHEA:16781': 1.0, 'RHEA:40059': 1.0, 'RHEA:16645': 1.0}	['decanoyl-CoA + H2O = CoA + decanoate + H(+)', 'a long-chain fatty acyl-CoA + H2O = a long-chain fatty acid + CoA + H(+)', 'a medium-chain fatty acyl-CoA + H2O = a medium chain fatty acid + CoA + H(+)', 'H2O + hexadecanoyl-CoA = CoA + H(+) + hexadecanoate', 'a fatty acyl-CoA + H2O = a fatty acid + CoA + H(+)']
P21888	Cysteine--tRNA ligase (EC 6.1.1.16) (Cysteinyl-tRNA synthetase) (CysRS)	reviewed	6.1.1.16	RHEA:17773	['ATP + L-cysteine + tRNA(Cys) = AMP + diphosphate + L-cysteinyl-tRNA(Cys)']	b0526	RHEA:17773	{'RHEA:17773': 1.0}	['ATP + L-cysteine + tRNA(Cys) = AMP + diphosphate + L-cysteinyl-tRNA(Cys)']
P0ABQ4	Dihydrofolate reductase (EC 1.5.1.3)	reviewed	1.5.1.3	RHEA:15009	['(6S)-5,6,7,8-tetrahydrofolate + NADP(+) = 7,8-dihydrofolate + H(+) + NADPH']	b0048	RHEA:15009	{'RHEA:15009': 1.0}	['(6S)-5,6,7,8-tetrahydrofolate + NADP(+) = 7,8-dihydrofolate + H(+) + NADPH']
P0A8J8	ATP-dependent RNA helicase RhlB (EC 3.6.4.13)	reviewed	3.6.4.13	RHEA:13065	['ATP + H2O = ADP + H(+) + phosphate']	b3780	RHEA:13065	{'RHEA:13065': 1.0}	['ATP + H2O = ADP + H(+) + phosphate']
P0AFZ5	Cell division inhibitor SulA	reviewed	-	-	-	b0958	-	{'-': 1.0}	-
P69801	PTS system mannose-specific EIIC component (EII-P-Man) (EIIC-Man) (Mannose permease IIC component)	reviewed	-	-	-	b1818	-	{'-': 1.0}	-
P00722	Beta-galactosidase (Beta-gal) (EC 3.2.1.23) (Lactase)	reviewed	3.2.1.23	-	-	b0344	RHEA:19897;RHEA:17633	{'RHEA:19897': 0.971531, 'RHEA:17633': 0.944184}	['a beta-D-glucuronoside + H2O = an alcohol + D-glucuronate', 'H(+) + 2 L-arginine + 3 NADPH + 4 O2 = 4 H2O + 2 L-citrulline + 3 NADP(+) + 2 nitric oxide']
P0A6H1	ATP-dependent Clp protease ATP-binding subunit ClpX (ATP-dependent unfoldase ClpX)	reviewed	-	-	-	b0438	-	{'-': 1.0}	-
P68187	Maltose/maltodextrin import ATP-binding protein MalK (EC 7.5.2.1)	reviewed	7.5.2.1	RHEA:22132	['ATP + D-maltose(out) + H2O = ADP + D-maltose(in) + H(+) + phosphate']	b4035	RHEA:22132	{'RHEA:22132': 1.0}	['ATP + D-maltose(out) + H2O = ADP + D-maltose(in) + H(+) + phosphate']
P77567	Arylamine N-acetyltransferase (EC 2.3.1.5) (Arylhydroxamate N,O-acetyltransferase) (N-hydroxyarylamine O-acetyltransferase) (EC 2.3.1.118)	reviewed	2.3.1.118;2.3.1.5	RHEA:16613;RHEA:20277	['acetyl-CoA + an arylamine = an N-acetylarylamine + CoA', 'acetyl-CoA + an N-hydroxyarylamine = an N-acetoxyarylamine + CoA']	b1463	RHEA:16613;RHEA:20277	{'RHEA:16613': 1.0, 'RHEA:20277': 1.0}	['acetyl-CoA + an arylamine = an N-acetylarylamine + CoA', 'acetyl-CoA + an N-hydroxyarylamine = an N-acetoxyarylamine + CoA']
P0AEF0	Replicative helicase loader DnaC (EC 3.6.4.-) (DNA replication protein DnaC)	reviewed	3.6.4.-	RHEA:13065	['ATP + H2O = ADP + H(+) + phosphate']	b4361	-	{'-': 1.0}	-
P0AEY8	Multidrug transporter MdfA (Chloramphenicol resistance pump Cmr)	reviewed	-	-	-	b0842	-	{'-': 1.0}	-
P15005	Type IV methyl-directed restriction enzyme EcoKMcrB subunit (EcoKMcrBC) (5-methylcytosine-specific restriction enzyme B) (EC 3.1.21.-)	reviewed	3.1.21.-	-	-	b4346	-	{'-': 0.999983}	-
P0AA76	D-galactonate transporter (D-galactonate/H(+) symporter)	reviewed	-	RHEA:29835	['D-galactonate(in) + H(+)(in) = D-galactonate(out) + H(+)(out)']	b3691	RHEA:29835	{'RHEA:29835': 1.0}	['D-galactonate(in) + H(+)(in) = D-galactonate(out) + H(+)(out)']
P0AF06	Motility protein B (Chemotaxis protein MotB)	reviewed	-	-	-	b1889	-	{'-': 1.0}	-
P0A9Q5	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta (ACCase subunit beta) (Acetyl-CoA carboxylase carboxyltransferase subunit beta) (EC 2.1.3.15)	reviewed	2.1.3.15	RHEA:54728	['acetyl-CoA + N(6)-carboxybiotinyl-L-lysyl-[protein] = malonyl-CoA + N(6)-biotinyl-L-lysyl-[protein]']	b2316	RHEA:54728;RHEA:11308	{'RHEA:54728': 1.0, 'RHEA:11308': 0.7777}	['acetyl-CoA + N(6)-carboxybiotinyl-L-lysyl-[protein] = malonyl-CoA + N(6)-biotinyl-L-lysyl-[protein]', 'acetyl-CoA + ATP + hydrogencarbonate = ADP + H(+) + malonyl-CoA + phosphate']
P06996	Outer membrane porin C (Outer membrane protein 1B) (Outer membrane protein C) (Porin OmpC)	reviewed	-	-	-	b2215	-	{'-': 1.0}	-
P0A8S9	Flagellar transcriptional regulator FlhD	reviewed	-	-	-	b1892	-	{'-': 1.0}	-
P0ABA6	ATP synthase gamma chain (ATP synthase F1 sector gamma subunit) (F-ATPase gamma subunit)	reviewed	-	-	-	b3733	-	{'-': 1.0}	-
P0ABH0	Cell division protein FtsA	reviewed	-	-	-	b0094	-	{'-': 1.0}	-
P10906	sn-glycerol-3-phosphate transport system permease protein UgpE	reviewed	-	-	-	b3451	-	{'-': 1.0}	-
P0AA93	Sensor histidine kinase YpdA (EC 2.7.13.3)	reviewed	2.7.13.3	-	-	b2380	-	{'-': 0.999051}	-
P0A800	DNA-directed RNA polymerase subunit omega (RNAP omega subunit) (EC 2.7.7.6) (RNA polymerase omega subunit) (Transcriptase subunit omega)	reviewed	2.7.7.6	RHEA:21248	"[""a ribonucleoside 5'-triphosphate + RNA(n) = diphosphate + RNA(n+1)""]"	b3649	RHEA:21248	{'RHEA:21248': 1.0}	"[""a ribonucleoside 5'-triphosphate + RNA(n) = diphosphate + RNA(n+1)""]"
P0AEE3	Serine endoprotease DegS (EC 3.4.21.107) (Site-1 protease DegS) (S1P protease DegS) (Site-1-type intramembrane protease)	reviewed	3.4.21.107	-	-	b3235	-	{'-': 0.999984}	-
P03018	DNA helicase II (EC 5.6.2.4) (DNA 3'-5' helicase II)	reviewed	5.6.2.4	RHEA:13065	['ATP + H2O = ADP + H(+) + phosphate']	b3813	RHEA:13065	{'RHEA:13065': 1.0}	['ATP + H2O = ADP + H(+) + phosphate']
P0AFF4	Nucleoside permease NupG (Nucleoside-transport system protein NupG)	reviewed	-	RHEA:29987;RHEA:29951;RHEA:29955;RHEA:29983;RHEA:29975;RHEA:70915;RHEA:29963	"['H(+)(in) + uridine(in) = H(+)(out) + uridine(out)', 'H(+)(in) + thymidine(in) = H(+)(out) + thymidine(out)', 'H(+)(in) + inosine(in) = H(+)(out) + inosine(out)', ""2'-deoxycytidine(in) + H(+)(in) = 2'-deoxycytidine(out) + H(+)(out)"", 'cytidine(in) + H(+)(in) = cytidine(out) + H(+)(out)', 'adenosine(in) + H(+)(in) = adenosine(out) + H(+)(out)', 'guanosine(in) + H(+)(in) = guanosine(out) + H(+)(out)']"	b2964	RHEA:29955;RHEA:70915;RHEA:29983;RHEA:29963;RHEA:29987;RHEA:29951;RHEA:29975	{'RHEA:29955': 1.0, 'RHEA:70915': 1.0, 'RHEA:29983': 1.0, 'RHEA:29963': 1.0, 'RHEA:29987': 1.0, 'RHEA:29951': 1.0, 'RHEA:29975': 1.0}	"['H(+)(in) + uridine(in) = H(+)(out) + uridine(out)', 'H(+)(in) + thymidine(in) = H(+)(out) + thymidine(out)', 'H(+)(in) + inosine(in) = H(+)(out) + inosine(out)', ""2'-deoxycytidine(in) + H(+)(in) = 2'-deoxycytidine(out) + H(+)(out)"", 'cytidine(in) + H(+)(in) = cytidine(out) + H(+)(out)', 'adenosine(in) + H(+)(in) = adenosine(out) + H(+)(out)', 'guanosine(in) + H(+)(in) = guanosine(out) + H(+)(out)']"
P0AAR3	Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK (EC 4.2.-.-)	reviewed	4.2.-.-	-	-	b0481	-	{'-': 0.998944}	-
P0A742	Large-conductance mechanosensitive channel	reviewed	-	-	-	b3291	-	{'-': 1.0}	-
P0DM85	Clamp-binding protein CrfC (Clamp-binding sister replication fork colocalization protein)	reviewed	-	-	-	b4109	-	{'-': 1.0}	-
P30140	2-iminoacetate synthase (EC 4.1.99.19) (Dehydroglycine synthase) (Tyrosine lyase)	reviewed	4.1.99.19	RHEA:26361	"[""L-tyrosine + NADPH + S-adenosyl-L-methionine = 2-iminoacetate + 4-methylphenol + 5'-deoxyadenosine + L-methionine + NADP(+)""]"	b3990	RHEA:26361	{'RHEA:26361': 1.0}	"[""L-tyrosine + NADPH + S-adenosyl-L-methionine = 2-iminoacetate + 4-methylphenol + 5'-deoxyadenosine + L-methionine + NADP(+)""]"
P69828	PTS system galactitol-specific EIIA component (EIIB-Gat) (Galactitol-specific phosphotransferase enzyme IIA component)	reviewed	-	-	-	b2094	-	{'-': 1.0}	-
P69831	PTS system galactitol-specific EIIC component (EIIC-Gat) (Galactitol permease IIC component)	reviewed	-	-	-	b2092	-	{'-': 1.0}	-
P00894	Acetolactate synthase isozyme 3 small subunit (EC 2.2.1.6) (ALS-III) (Acetohydroxy-acid synthase III small subunit) (AHAS-III)	reviewed	2.2.1.6	RHEA:25249	['H(+) + 2 pyruvate = (2S)-2-acetolactate + CO2']	b0078	RHEA:25249;RHEA:27654	{'RHEA:25249': 1.0, 'RHEA:27654': 0.7777}	['H(+) + 2 pyruvate = (2S)-2-acetolactate + CO2', '2-oxobutanoate + H(+) + pyruvate = (S)-2-ethyl-2-hydroxy-3-oxobutanoate + CO2']
P16926	Cell shape-determining protein MreC (Cell shape protein MreC) (Rod shape-determining protein MreC)	reviewed	-	-	-	b3250	-	{'-': 1.0}	-
P24215	Mannonate dehydratase (EC 4.2.1.8) (D-mannonate hydro-lyase)	reviewed	4.2.1.8	RHEA:20097	['D-mannonate = 2-dehydro-3-deoxy-D-gluconate + H2O']	b4322	RHEA:20097	{'RHEA:20097': 1.0}	['D-mannonate = 2-dehydro-3-deoxy-D-gluconate + H2O']
P0A725	UDP-3-O-acyl-N-acetylglucosamine deacetylase (UDP-3-O-acyl-GlcNAc deacetylase) (EC 3.5.1.108) (Protein EnvA) (UDP-3-O-[R-3-hydroxymyristoyl]-N-acetylglucosamine deacetylase)	reviewed	3.5.1.108	RHEA:67816	['a UDP-3-O-[(3R)-3-hydroxyacyl]-N-acetyl-alpha-D-glucosamine + H2O = a UDP-3-O-[(3R)-3-hydroxyacyl]-alpha-D-glucosamine + acetate']	b0096	RHEA:67816	{'RHEA:67816': 1.0}	['a UDP-3-O-[(3R)-3-hydroxyacyl]-N-acetyl-alpha-D-glucosamine + H2O = a UDP-3-O-[(3R)-3-hydroxyacyl]-alpha-D-glucosamine + acetate']
P0ABI8	Cytochrome bo(3) ubiquinol oxidase subunit 1 (cyt bo(3) subunit 1) (EC 7.1.1.3) (Cytochrome b562-o complex subunit I) (Cytochrome o ubiquinol oxidase subunit 1) (Cytochrome o subunit 1) (Oxidase bo(3) subunit 1) (Ubiquinol oxidase chain A) (Ubiquinol oxidase polypeptide I) (Ubiquinol oxidase subunit 1)	reviewed	7.1.1.3	RHEA:30251	['2 a ubiquinol + n H(+)(in) + O2 = 2 a ubiquinone + n H(+)(out) + 2 H2O']	b0431	RHEA:30251	{'RHEA:30251': 1.0}	['2 a ubiquinol + n H(+)(in) + O2 = 2 a ubiquinone + n H(+)(out) + 2 H2O']
P0CG19	Truncated inactive ribonuclease PH (Truncated inactive RNase PH) (Inactive RNase PH) (Truncated RNase PH)	reviewed	-	-	-	b3643	RHEA:10628	{'RHEA:10628': 0.999554}	"[""phosphate + tRNA(n+1) = a ribonucleoside 5'-diphosphate + tRNA(n)""]"
P30014	Ribonuclease T (EC 3.1.13.-) (Exoribonuclease T) (RNase T)	reviewed	3.1.13.-	-	-	b1652	RHEA:18633;RHEA:15889;RHEA:22508	{'RHEA:18633': 0.971606, 'RHEA:15889': 0.971606, 'RHEA:22508': 0.957168}	"['H2O + L-glutamine = L-glutamate + NH4(+)', '2 ATP + H2O + hydrogencarbonate + L-glutamine = 2 ADP + carbamoyl phosphate + 2 H(+) + L-glutamate + phosphate', ""a 2'-deoxyribonucleoside 5'-triphosphate + DNA(n) = diphosphate + DNA(n+1)""]"
P76387	Tyrosine-protein kinase wzc (EC 2.7.10.-)	reviewed	2.7.10.-	RHEA:10596	['ATP + L-tyrosyl-[protein] = ADP + H(+) + O-phospho-L-tyrosyl-[protein]']	b2060	RHEA:10596	{'RHEA:10596': 1.0}	['ATP + L-tyrosyl-[protein] = ADP + H(+) + O-phospho-L-tyrosyl-[protein]']
P0A7Y0	Ribonuclease 3 (EC 3.1.26.3) (Ribonuclease III) (RNase III)	reviewed	3.1.26.3	-	-	b2567	-	{'-': 0.998879}	-
P06722	DNA mismatch repair protein MutH (Methyl-directed mismatch repair protein)	reviewed	-	-	-	b2831	-	{'-': 1.0}	-
P0A964	Chemotaxis protein CheW	reviewed	-	-	-	b1887	-	{'-': 1.0}	-
P0AEK4	Enoyl-[acyl-carrier-protein] reductase [NADH] FabI (ENR) (EC 1.3.1.9) (NADH-dependent enoyl-ACP reductase)	reviewed	1.3.1.9	RHEA:10240;RHEA:54868;RHEA:54936;RHEA:54900;RHEA:54904;RHEA:55124	['(2E)-butenoyl-[ACP] + H(+) + NADH = butanoyl-[ACP] + NAD(+)', '(2E)-hexadecenoyl-[ACP] + H(+) + NADH = hexadecanoyl-[ACP] + NAD(+)', '(2E,9Z)-hexadecadienoyl-[ACP] + H(+) + NADH = (9Z)-hexadecenoyl-[ACP] + NAD(+)', '(2E)-decenoyl-[ACP] + H(+) + NADH = decanoyl-[ACP] + NAD(+)', '(2E)-5-methylhexenoyl-[ACP] + H(+) + NADH = 5-methylhexanoyl-[ACP] + NAD(+)', 'a 2,3-saturated acyl-[ACP] + NAD(+) = a (2E)-enoyl-[ACP] + H(+) + NADH']	b1288	RHEA:10240	{'RHEA:10240': 1.0}	['a 2,3-saturated acyl-[ACP] + NAD(+) = a (2E)-enoyl-[ACP] + H(+) + NADH']
